,名称,类型,所属阵营,强满标准射速,强满迎击标准射速,航空,反潜,特性,舰载机航速,舰载机强满耐久,回避上限(%)
29,Me-155A舰载战斗机T2,战斗机,铁血,9.51s/轮,10.18s/轮,25,,空战,50,462,9.5
30,D.790T0,战斗机,自由鸢尾,9.01s/轮,9.01s/轮,25,,空战,50,461,9.0
31,G.50箭式战斗机T3,战斗机,撒丁帝国,10.24s/轮,9.88s/轮,25,,空战,50,384,9.0
32,Re.2001公羊T3,战斗机,撒丁帝国,10.97s/轮,10.97s/轮,25,,空战,46,347,9.0
33,F2A水牛T3,战斗机,白鹰,11.69s/轮,11.69s/轮,12,,空战,45,335,9.0
34,F4F野猫T2,战斗机,白鹰,11.44s/轮,11.44s/轮,12,,空战,48,335,9.5
35,F4U海盗T2,战斗机,白鹰,11.85s/轮,11.19s/轮,12,,空战,48,335,9.5
36,F6F地狱猫T1,战斗机,白鹰,12.04s/轮,11.06s/轮,12,,空战,50,335,10.0
37,海喷火T2,战斗机,皇家,11.86s/轮,11.72s/轮,12,,空战,50,319,9.5
38,海毒牙T1,战斗机,皇家,11.84s/轮,11.38s/轮,12,,空战,53,319,9.0
39,海斗士T3,战斗机,皇家,10.64s/轮,10.64s/轮,12,,空战,47,319,9.0
40,海飓风T3,战斗机,皇家,10.51s/轮,10.64s/轮,12,,空战,47,252,9.0
41,九六式舰战T3,战斗机,重樱,10.76s/轮,11.07s/轮,12,,空战,48,303,8.0
42,零战二一型T2,战斗机,重樱,10.95s/轮,10.59s/轮,12,,空战,55,303,8.5
43,零战五二型T1,战斗机,重樱,10.59s/轮,10.24s/轮,12,,空战,55,303,8.0
44,烈风T1,战斗机,重樱,11.81s/轮,11.81s/轮,12,,空战,60,303,9.0
45,BF-109T舰载战斗机T2,战斗机,铁血,10.63s/轮,11.45s/轮,12,,空战,50,319,8.5
46,Ar-197舰载战斗机T0,战斗机,铁血,12.05s/轮,12.05s/轮,12,,空战,49,319,8.0
47,Me-155A舰载战斗机T1,战斗机,铁血,10.44s/轮,11.11s/轮,12,,空战,50,319,9.0
48,GL.2舰载战斗机T0,战斗机,自由鸢尾,11.44s/轮,11.44s/轮,12,,空战,48,288,8.5
49,F2A水牛T1,战斗机,白鹰,12.80s/轮,12.80s/轮,0,,空战,45,205,8.0
50,F2A水牛T2,战斗机,白鹰,12.48s/轮,12.48s/轮,5,,空战,45,230,8.5
51,F4F野猫T1,战斗机,白鹰,12.16s/轮,12.16s/轮,5,,空战,48,230,9.0
52,F4U海盗T1,战斗机,白鹰,12.58s/轮,11.91s/轮,5,,空战,48,230,9.0
53,海喷火T1,战斗机,皇家,12.54s/轮,12.40s/轮,5,,空战,50,220,9.0
54,海斗士T1,战斗机,皇家,11.59s/轮,11.59s/轮,0,,空战,47,195,8.0
55,海斗士T2,战斗机,皇家,11.38s/轮,11.38s/轮,5,,空战,47,220,8.5
56,九六式舰战T1,战斗机,重樱,11.56s/轮,11.88s/轮,0,,空战,48,186,7.0
57,九六式舰战T2,战斗机,重樱,10.78s/轮,11.71s/轮,5,,空战,48,208,7.5
58,零战二一型T1,战斗机,重樱,11.63s/轮,11.29s/轮,5,,空战,52,208,8.0
59,BF-109T舰载战斗机T1,战斗机,铁血,11.43s/轮,12.18s/轮,5,,空战,50,220,8.0
60,G.50箭式战斗机T1,战斗机,撒丁帝国,11.63s/轮,11.29s/轮,5,,空战,50,230,8.0
61,Re.2001公羊T1,战斗机,撒丁帝国,12.54s/轮,12.54s/轮,5,,空战,46,207,8.0
